threshold,TP,FP,TN,FN,signals,fp_ratio_of_signals,precision,recall
0.705,11,8,1952,29,19,0.42105263157894735,0.5789473684210527,0.275
0.71,11,8,1952,29,19,0.42105263157894735,0.5789473684210527,0.275
0.715,10,8,1952,30,18,0.4444444444444444,0.5555555555555556,0.25
0.72,9,7,1953,31,16,0.4375,0.5625,0.225
0.725,9,7,1953,31,16,0.4375,0.5625,0.225
0.73,9,6,1954,31,15,0.4,0.6,0.225
0.735,9,6,1954,31,15,0.4,0.6,0.225
0.74,8,6,1954,32,14,0.42857142857142855,0.5714285714285714,0.2
0.745,8,6,1954,32,14,0.42857142857142855,0.5714285714285714,0.2
0.75,6,5,1955,34,11,0.45454545454545453,0.5454545454545454,0.15
0.755,6,5,1955,34,11,0.45454545454545453,0.5454545454545454,0.15
0.76,6,5,1955,34,11,0.45454545454545453,0.5454545454545454,0.15
0.765,6,4,1956,34,10,0.4,0.6,0.15
0.77,6,4,1956,34,10,0.4,0.6,0.15
0.775,5,4,1956,35,9,0.4444444444444444,0.5555555555555556,0.125
0.78,5,3,1957,35,8,0.375,0.625,0.125
0.785,4,3,1957,36,7,0.42857142857142855,0.5714285714285714,0.1
0.79,4,3,1957,36,7,0.42857142857142855,0.5714285714285714,0.1
0.795,4,3,1957,36,7,0.42857142857142855,0.5714285714285714,0.1
0.8,4,3,1957,36,7,0.42857142857142855,0.5714285714285714,0.1
0.805,4,3,1957,36,7,0.42857142857142855,0.5714285714285714,0.1
0.81,4,2,1958,36,6,0.3333333333333333,0.6666666666666666,0.1
0.8150000000000001,4,2,1958,36,6,0.3333333333333333,0.6666666666666666,0.1
0.8200000000000001,4,2,1958,36,6,0.3333333333333333,0.6666666666666666,0.1
0.8250000000000001,4,2,1958,36,6,0.3333333333333333,0.6666666666666666,0.1
0.8300000000000001,4,2,1958,36,6,0.3333333333333333,0.6666666666666666,0.1
0.835,4,2,1958,36,6,0.3333333333333333,0.6666666666666666,0.1
0.84,3,1,1959,37,4,0.25,0.75,0.075
0.845,3,1,1959,37,4,0.25,0.75,0.075
0.85,3,1,1959,37,4,0.25,0.75,0.075
0.855,3,0,1960,37,3,0.0,1.0,0.075
0.86,2,0,1960,38,2,0.0,1.0,0.05
0.865,2,0,1960,38,2,0.0,1.0,0.05
0.87,2,0,1960,38,2,0.0,1.0,0.05
0.875,2,0,1960,38,2,0.0,1.0,0.05
0.88,2,0,1960,38,2,0.0,1.0,0.05
0.885,2,0,1960,38,2,0.0,1.0,0.05
0.89,2,0,1960,38,2,0.0,1.0,0.05
0.895,2,0,1960,38,2,0.0,1.0,0.05
0.9,2,0,1960,38,2,0.0,1.0,0.05
0.905,1,0,1960,39,1,0.0,1.0,0.025
0.91,1,0,1960,39,1,0.0,1.0,0.025
0.915,1,0,1960,39,1,0.0,1.0,0.025
0.92,1,0,1960,39,1,0.0,1.0,0.025
0.925,0,0,1960,40,0,0.0,0.0,0.0
0.93,0,0,1960,40,0,0.0,0.0,0.0
0.935,0,0,1960,40,0,0.0,0.0,0.0
0.9400000000000001,0,0,1960,40,0,0.0,0.0,0.0
0.9450000000000001,0,0,1960,40,0,0.0,0.0,0.0
0.9500000000000001,0,0,1960,40,0,0.0,0.0,0.0
0.9550000000000001,0,0,1960,40,0,0.0,0.0,0.0
0.96,0,0,1960,40,0,0.0,0.0,0.0
0.965,0,0,1960,40,0,0.0,0.0,0.0
0.97,0,0,1960,40,0,0.0,0.0,0.0
0.975,0,0,1960,40,0,0.0,0.0,0.0
0.98,0,0,1960,40,0,0.0,0.0,0.0
0.985,0,0,1960,40,0,0.0,0.0,0.0
0.99,0,0,1960,40,0,0.0,0.0,0.0
0.995,0,0,1960,40,0,0.0,0.0,0.0
1.0,0,0,1960,40,0,0.0,0.0,0.0
